run_id,ticket_id,agent,model,cost_usd,started_at
run-0001,TCK-0001,support-bot,gpt-5,1.98,2026-06-17T04:14:00Z
run-0002,TCK-0001,support-bot,claude-fable-5,0.92,2026-06-17T02:14:00Z
run-0003,TCK-0002,support-bot,claude-fable-5,1.03,2026-06-28T08:14:00Z
run-0004,TCK-0002,support-bot,gpt-5,2.06,2026-06-28T02:14:00Z
run-0005,TCK-0003,support-bot,gpt-5,2.02,2026-06-24T03:14:00Z
run-0006,TCK-0003,support-bot,gpt-5,1.35,2026-06-24T04:14:00Z
run-0007,TCK-0004,support-bot,claude-fable-5,1.19,2026-06-22T05:14:00Z
run-0008,TCK-0004,support-bot,gpt-5,2.07,2026-06-22T02:14:00Z
run-0009,TCK-0005,support-bot,claude-fable-5,1.32,2026-06-24T00:14:00Z
run-0010,TCK-0005,support-bot,claude-fable-5,0.91,2026-06-24T08:14:00Z
run-0011,TCK-0006,support-bot,gpt-5,1.83,2026-06-07T05:14:00Z
run-0012,TCK-0006,support-bot,gpt-5,1.38,2026-06-07T00:14:00Z
run-0013,,support-bot,claude-fable-5,1.11,2026-06-26T00:14:00Z
run-0014,TCK-0007,support-bot,claude-fable-5,1.08,2026-06-26T08:14:00Z
run-0015,,support-bot,gpt-5,1.67,2026-06-12T06:14:00Z
run-0016,TCK-0009,support-bot,gpt-5,1.78,2026-06-13T05:14:00Z
run-0017,TCK-0010,support-bot,claude-fable-5,1.06,2026-06-14T02:14:00Z
run-0018,TCK-0011,support-bot,claude-fable-5,1.38,2026-06-28T05:14:00Z
run-0019,TCK-0011,support-bot,claude-fable-5,0.95,2026-06-28T06:14:00Z
run-0020,TCK-0012,support-bot,gpt-5,1.60,2026-06-14T04:14:00Z
run-0021,TCK-0012,support-bot,claude-fable-5,1.35,2026-06-14T06:14:00Z
run-0022,TCK-0013,support-bot,claude-fable-5,1.12,2026-06-15T00:14:00Z
run-0023,TCK-0014,support-bot,claude-fable-5,1.13,2026-06-27T02:14:00Z
run-0024,TCK-0014,support-bot,claude-fable-5,0.95,2026-06-27T08:14:00Z
run-0025,TCK-0015,support-bot,claude-fable-5,1.25,2026-06-18T02:14:00Z
run-0026,TCK-0015,support-bot,claude-fable-5,1.17,2026-06-18T05:14:00Z
run-0027,TCK-0016,support-bot,claude-fable-5,0.92,2026-06-07T01:14:00Z
run-0028,TCK-0016,support-bot,claude-fable-5,1.02,2026-06-07T02:14:00Z
run-0029,,support-bot,claude-fable-5,1.31,2026-06-02T07:14:00Z
run-0030,TCK-0018,support-bot,gpt-5,1.59,2026-06-03T04:14:00Z
run-0031,TCK-0019,support-bot,gpt-5,1.67,2026-06-12T05:14:00Z
run-0032,TCK-0019,support-bot,gpt-5,2.12,2026-06-12T00:14:00Z
run-0033,TCK-0020,support-bot,gpt-5,2.04,2026-06-03T07:14:00Z
run-0034,TCK-0020,support-bot,claude-fable-5,1.10,2026-06-03T00:14:00Z
run-0035,TCK-0021,support-bot,gpt-5,1.91,2026-06-14T00:14:00Z
run-0036,TCK-0021,support-bot,gpt-5,1.81,2026-06-14T01:14:00Z
run-0037,TCK-0022,support-bot,gpt-5,1.37,2026-06-05T06:14:00Z
run-0038,TCK-0023,support-bot,claude-fable-5,1.32,2026-06-04T03:14:00Z
run-0039,TCK-0024,support-bot,gpt-5,2.04,2026-06-11T03:14:00Z
run-0040,TCK-0025,support-bot,claude-fable-5,1.16,2026-06-01T06:14:00Z
run-0041,TCK-0026,support-bot,claude-fable-5,1.11,2026-06-20T01:14:00Z
run-0042,TCK-0027,support-bot,claude-fable-5,1.25,2026-06-18T08:14:00Z
run-0043,TCK-0027,support-bot,claude-fable-5,1.27,2026-06-18T05:14:00Z
run-0044,TCK-0028,support-bot,claude-fable-5,1.05,2026-06-20T01:14:00Z
run-0045,TCK-0029,support-bot,claude-fable-5,1.11,2026-06-18T04:14:00Z
run-0046,,support-bot,gpt-5,2.04,2026-06-13T07:14:00Z
run-0047,TCK-0030,support-bot,gpt-5,1.96,2026-06-13T03:14:00Z
run-0048,TCK-0031,support-bot,claude-fable-5,1.23,2026-06-03T08:14:00Z
run-0049,,support-bot,gpt-5,1.86,2026-06-03T05:14:00Z
run-0050,TCK-0032,support-bot,gpt-5,1.38,2026-06-28T02:14:00Z
run-0051,TCK-0033,support-bot,claude-fable-5,1.00,2026-06-19T05:14:00Z
run-0052,TCK-0033,support-bot,claude-fable-5,1.21,2026-06-19T06:14:00Z
run-0053,TCK-0034,support-bot,claude-fable-5,1.39,2026-06-26T07:14:00Z
run-0054,,support-bot,claude-fable-5,1.03,2026-06-26T02:14:00Z
run-0055,TCK-0035,support-bot,claude-fable-5,1.11,2026-06-16T00:14:00Z
run-0056,TCK-0036,support-bot,gpt-5,2.11,2026-06-12T02:14:00Z
run-0057,TCK-0036,support-bot,claude-fable-5,1.02,2026-06-12T01:14:00Z
run-0058,TCK-0037,support-bot,gpt-5,1.87,2026-06-08T05:14:00Z
run-0059,TCK-0038,support-bot,claude-fable-5,1.28,2026-06-27T00:14:00Z
run-0060,TCK-0038,support-bot,gpt-5,1.40,2026-06-27T07:14:00Z
run-0061,TCK-0039,support-bot,claude-fable-5,1.22,2026-06-25T03:14:00Z
run-0062,TCK-0039,support-bot,claude-fable-5,1.13,2026-06-25T08:14:00Z
run-0063,TCK-0040,support-bot,claude-fable-5,1.00,2026-06-23T03:14:00Z
run-0064,TCK-0040,support-bot,gpt-5,1.98,2026-06-23T05:14:00Z
run-0065,TCK-0041,support-bot,claude-fable-5,0.92,2026-06-26T02:14:00Z
