ticket_id,event,status,resolved_at
TCK-0001,ticket_resolved,resolved_ok,2026-06-17
TCK-0002,ticket_resolved,resolved_ok,2026-06-28
TCK-0003,ticket_resolved,resolved_ok,2026-06-24
TCK-0004,ticket_resolved,resolved_ok,2026-06-22
TCK-0005,ticket_resolved,resolved_ok,2026-06-24
TCK-0006,ticket_resolved,resolved_ok,2026-06-07
TCK-0007,ticket_resolved,reopened_7d,2026-06-26
TCK-0008,ticket_resolved,resolved_ok,2026-06-12
TCK-0009,ticket_resolved,resolved_ok,2026-06-13
TCK-0010,ticket_resolved,resolved_ok,2026-06-14
TCK-0011,ticket_resolved,resolved_ok,2026-06-28
TCK-0012,ticket_resolved,resolved_ok,2026-06-14
TCK-0013,ticket_resolved,resolved_ok,2026-06-15
TCK-0014,ticket_resolved,unresolved,2026-06-27
TCK-0015,ticket_resolved,resolved_ok,2026-06-18
TCK-0016,ticket_resolved,resolved_ok,2026-06-07
TCK-0017,ticket_resolved,resolved_ok,2026-06-02
TCK-0018,ticket_resolved,resolved_ok,2026-06-03
TCK-0019,ticket_resolved,resolved_ok,2026-06-12
TCK-0020,ticket_resolved,reopened_7d,2026-06-03
TCK-0021,ticket_resolved,resolved_ok,2026-06-14
TCK-0022,ticket_resolved,resolved_ok,2026-06-05
TCK-0023,ticket_resolved,resolved_ok,2026-06-04
TCK-0024,ticket_resolved,resolved_ok,2026-06-11
TCK-0025,ticket_resolved,resolved_ok,2026-06-01
TCK-0026,ticket_resolved,resolved_ok,2026-06-20
TCK-0027,ticket_resolved,reopened_7d,2026-06-18
TCK-0028,ticket_resolved,reopened_7d,2026-06-20
TCK-0029,ticket_resolved,resolved_ok,2026-06-18
TCK-0030,ticket_resolved,resolved_ok,2026-06-13
TCK-0031,ticket_resolved,unresolved,2026-06-03
TCK-0032,ticket_resolved,resolved_ok,2026-06-28
TCK-0033,ticket_resolved,resolved_ok,2026-06-19
TCK-0034,ticket_resolved,reopened_7d,2026-06-26
TCK-0035,ticket_resolved,reopened_7d,2026-06-16
TCK-0036,ticket_resolved,resolved_ok,2026-06-12
TCK-0037,ticket_resolved,reopened_7d,2026-06-08
TCK-0038,ticket_resolved,resolved_ok,2026-06-27
TCK-0039,ticket_resolved,resolved_ok,2026-06-25
TCK-0040,ticket_resolved,resolved_ok,2026-06-23
TCK-0041,ticket_resolved,reopened_7d,2026-06-26
TCK-0042,ticket_resolved,unresolved,2026-06-25
TCK-0043,ticket_resolved,resolved_ok,2026-06-12
TCK-0044,ticket_resolved,resolved_ok,2026-06-25
TCK-0045,ticket_resolved,resolved_ok,2026-06-03
TCK-0046,ticket_resolved,resolved_ok,2026-06-10
TCK-0047,ticket_resolved,resolved_ok,2026-06-12
TCK-0048,ticket_resolved,reopened_7d,2026-06-05
TCK-0049,ticket_resolved,resolved_ok,2026-06-18
TCK-0050,ticket_resolved,resolved_ok,2026-06-06
TCK-0051,ticket_resolved,resolved_ok,2026-06-01
TCK-0052,ticket_resolved,resolved_ok,2026-06-22
TCK-0053,ticket_resolved,unresolved,2026-06-05
TCK-0054,ticket_resolved,unresolved,2026-06-20
TCK-0055,ticket_resolved,resolved_ok,2026-06-16
TCK-0056,ticket_resolved,resolved_ok,2026-06-20
TCK-0057,ticket_resolved,resolved_ok,2026-06-27
TCK-0058,ticket_resolved,unresolved,2026-06-12
TCK-0059,ticket_resolved,resolved_ok,2026-06-04
TCK-0060,ticket_resolved,resolved_ok,2026-06-25
TCK-0061,ticket_resolved,resolved_ok,2026-06-17
TCK-0062,ticket_resolved,resolved_ok,2026-06-09
TCK-0063,ticket_resolved,resolved_ok,2026-06-13
TCK-0064,ticket_resolved,resolved_ok,2026-06-01
TCK-0065,ticket_resolved,resolved_ok,2026-06-20
TCK-0066,ticket_resolved,resolved_ok,2026-06-19
TCK-0067,ticket_resolved,resolved_ok,2026-06-13
TCK-0068,ticket_resolved,resolved_ok,2026-06-08
TCK-0069,ticket_resolved,resolved_ok,2026-06-01
TCK-0070,ticket_resolved,resolved_ok,2026-06-14
TCK-0071,ticket_resolved,resolved_ok,2026-06-03
TCK-0072,ticket_resolved,unresolved,2026-06-25
TCK-0073,ticket_resolved,resolved_ok,2026-06-20
TCK-0074,ticket_resolved,unresolved,2026-06-06
TCK-0075,ticket_resolved,reopened_7d,2026-06-10
TCK-0076,ticket_resolved,resolved_ok,2026-06-21
TCK-0077,ticket_resolved,reopened_7d,2026-06-10
TCK-0078,ticket_resolved,resolved_ok,2026-06-01
TCK-0079,ticket_resolved,resolved_ok,2026-06-25
TCK-0080,ticket_resolved,resolved_ok,2026-06-21
TCK-0081,ticket_resolved,resolved_ok,2026-06-04
TCK-0082,ticket_resolved,resolved_ok,2026-06-06
TCK-0083,ticket_resolved,resolved_ok,2026-06-11
TCK-0084,ticket_resolved,resolved_ok,2026-06-02
TCK-0085,ticket_resolved,resolved_ok,2026-06-28
TCK-0086,ticket_resolved,resolved_ok,2026-06-03
TCK-0087,ticket_resolved,resolved_ok,2026-06-25
TCK-0088,ticket_resolved,resolved_ok,2026-06-21
TCK-0089,ticket_resolved,resolved_ok,2026-06-20
TCK-0090,ticket_resolved,resolved_ok,2026-06-05
